id,county,state,concatenate,Estimate!!Total
0500000US48187,Guadalupe,Texas,GuadalupeTexas,163694
0500000US48183,Gregg,Texas,GreggTexas,123707
0500000US48347,Nacogdoches,Texas,NacogdochesTexas,65711
0500000US48439,Tarrant,Texas,TarrantTexas,2084931
0500000US48041,Brazos,Texas,BrazosTexas,226758
0500000US48209,Hays,Texas,HaysTexas,222631
0500000US48251,Johnson,Texas,JohnsonTexas,171361
0500000US48037,Bowie,Texas,BowieTexas,94324
0500000US48139,Ellis,Texas,EllisTexas,179436
0500000US48291,Liberty,Texas,LibertyTexas,86323
0500000US48479,Webb,Texas,WebbTexas,275910
0500000US48091,Comal,Texas,ComalTexas,148373
0500000US48361,Orange,Texas,OrangeTexas,83572
0500000US48497,Wise,Texas,WiseTexas,68305
0500000US48245,Jefferson,Texas,JeffersonTexas,255001
0500000US48257,Kaufman,Texas,KaufmanTexas,128622
0500000US48491,Williamson,Texas,WilliamsonTexas,566719
0500000US48181,Grayson,Texas,GraysonTexas,133991
0500000US48309,McLennan,Texas,McLennanTexas,254607
0500000US48397,Rockwall,Texas,RockwallTexas,100657
0500000US48409,San Patricio,Texas,San PatricioTexas,66893
0500000US48141,El Paso,Texas,El PasoTexas,840758
0500000US48201,Harris,Texas,HarrisTexas,4698619
