id,county,state,concat,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US12085,Martin,Florida,MartinFlorida,160912,79107,81805,6533,5257,9499,8639,6353,7906,8207,5249,8616,8980,10685,12159,12410,11262,13152,10305,7585,8115
0500000US12005,Bay,Florida,BayFlorida,185287,91852,93435,11383,11827,10256,11009,11737,12126,12051,13217,9847,10374,12917,13785,13831,9470,8701,5881,3582,3293
0500000US12099,Palm Beach,Florida,Palm BeachFlorida,1485941,719591,766350,75957,75452,82029,82395,79848,91044,87051,88972,81217,93326,96512,101163,96137,83740,88221,73448,48493,60936
0500000US12107,Putnam,Florida,PutnamFlorida,74163,36614,37549,4428,4057,4621,4306,4347,3935,3608,4631,3195,4034,4509,5843,5335,4668,5935,3921,2073,717
0500000US12053,Hernando,Florida,HernandoFlorida,190865,91394,99471,8993,8849,10751,10317,8829,9895,9390,11893,8830,10691,12167,12473,15144,14039,14000,11623,6232,6749
0500000US12101,Pasco,Florida,PascoFlorida,539630,261830,277800,28054,30566,31575,31366,26976,28553,29467,32711,33490,36244,35688,37384,35422,36559,30824,25702,15529,13520
0500000US12115,Sarasota,Florida,SarasotaFlorida,426718,203878,222840,14847,15637,18387,19149,16847,18407,16104,18843,18386,21674,25028,33510,32833,40682,38653,31030,24028,22673
0500000US12119,Sumter,Florida,SumterFlorida,128754,64120,64634,1834,2351,3599,2939,2178,3780,3498,3963,4433,3602,5098,6621,11704,21064,21081,17945,8216,4848
0500000US12081,Manatee,Florida,ManateeFlorida,394855,191284,203571,18364,19681,22114,20105,19570,20232,20958,15740,24437,22618,25014,28854,29381,29956,28158,22438,13436,13799
0500000US12087,Monroe,Florida,MonroeFlorida,75027,38491,36536,3336,2655,3460,3697,2986,4506,4563,5823,3600,5188,5834,6607,5800,6644,4218,3183,2081,846
