id,county,state,concatenate,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone
0500000US42001,Adams,Pennsylvania,AdamsPennsylvania,96606,1281,359,770,0,1753
0500000US42041,Cumberland,Pennsylvania,CumberlandPennsylvania,218641,9372,386,11174,114,3049
0500000US42021,Cambria,Pennsylvania,CambriaPennsylvania,123050,4361,130,444,137,618
0500000US42049,Erie,Pennsylvania,EriePennsylvania,234857,20597,946,4909,63,3421
0500000US42133,York,Pennsylvania,YorkPennsylvania,393886,24439,979,7293,271,7646
0500000US42005,Armstrong,Pennsylvania,ArmstrongPennsylvania,null,null,null,null,null,null
0500000US42045,Delaware,Pennsylvania,DelawarePennsylvania,387267,125853,1655,31189,0,3743
0500000US42095,Northampton,Pennsylvania,NorthamptonPennsylvania,258795,17588,730,8998,932,7789
0500000US42029,Chester,Pennsylvania,ChesterPennsylvania,441393,31220,262,29646,0,7314
0500000US42101,Philadelphia,Pennsylvania,PhiladelphiaPennsylvania,623482,657756,4326,116907,582,122538
0500000US42007,Beaver,Pennsylvania,BeaverPennsylvania,148316,8680,413,1034,25,848
0500000US42037,Columbia,Pennsylvania,ColumbiaPennsylvania,61574,1265,56,782,137,1163
0500000US42071,Lancaster,Pennsylvania,LancasterPennsylvania,476288,24117,1484,12368,222,16636
0500000US42129,Westmoreland,Pennsylvania,WestmorelandPennsylvania,331653,9092,198,3558,148,1040
0500000US42027,Centre,Pennsylvania,CentrePennsylvania,142490,6076,63,11373,0,911
0500000US42055,Franklin,Pennsylvania,FranklinPennsylvania,143190,4897,66,671,0,596
0500000US42097,Northumberland,Pennsylvania,NorthumberlandPennsylvania,85247,2570,0,321,0,1246
0500000US42081,Lycoming,Pennsylvania,LycomingPennsylvania,104565,4872,292,858,100,499
0500000US42073,Lawrence,Pennsylvania,LawrencePennsylvania,80253,3724,145,368,0,3
0500000US42003,Allegheny,Pennsylvania,AlleghenyPennsylvania,971262,157323,1466,48655,157,5991
0500000US42017,Bucks,Pennsylvania,BucksPennsylvania,546729,24896,340,31672,638,9253
0500000US42085,Mercer,Pennsylvania,MercerPennsylvania,100638,6307,189,943,0,442
0500000US42111,Somerset,Pennsylvania,SomersetPennsylvania,70202,1944,39,200,0,362
0500000US42077,Lehigh,Pennsylvania,LehighPennsylvania,289058,26790,1387,13064,30,22793
0500000US42107,Schuylkill,Pennsylvania,SchuylkillPennsylvania,132576,5390,373,714,0,1258
0500000US42125,Washington,Pennsylvania,WashingtonPennsylvania,194060,7066,0,2308,49,180
0500000US42063,Indiana,Pennsylvania,IndianaPennsylvania,80084,1433,41,847,37,247
0500000US42033,Clearfield,Pennsylvania,ClearfieldPennsylvania,74891,1896,263,362,0,238
0500000US42025,Carbon,Pennsylvania,CarbonPennsylvania,null,null,null,null,null,null
0500000US42069,Lackawanna,Pennsylvania,LackawannaPennsylvania,190838,4518,64,6020,42,2572
0500000US42011,Berks,Pennsylvania,BerksPennsylvania,349164,21274,384,6085,0,30031
0500000US42043,Dauphin,Pennsylvania,DauphinPennsylvania,192416,57569,656,12593,239,5404
0500000US42089,Monroe,Pennsylvania,MonroePennsylvania,128299,26984,73,4333,60,4592
0500000US42013,Blair,Pennsylvania,BlairPennsylvania,null,null,null,null,null,null
0500000US42039,Crawford,Pennsylvania,CrawfordPennsylvania,81136,870,69,344,0,189
0500000US42019,Butler,Pennsylvania,ButlerPennsylvania,179306,2167,0,3032,0,601
0500000US42079,Luzerne,Pennsylvania,LuzernePennsylvania,277736,15225,585,4248,360,12564
0500000US42075,Lebanon,Pennsylvania,LebanonPennsylvania,121786,4366,47,2126,0,10985
